qb name;sacked_per_dropback;pbwr
R.Tannehill;0.0888;63
K. Allen;0.0801;50
J. Flacco;0.0771;55
J.Allen;0.0765;62
R.Wilson;0.0737;54
K.Murray;0.072;62
D.Watson;0.0717;62
D.Jones;0.0682;61
M.Ryan;0.0657;50
J.Garoppolo;0.0641;55
S.Darnold;0.064;59
R.Fitzpatrick;0.0637;41
J.Winston;0.0634;58
M.Trubisky;0.0629;61
B.Mayfield;0.0623;63
A.Dalton;0.0616;47
M.Stafford;0.0548;59
K.Cousins;0.0546;57
A.Rodgers;0.0548;72
C.Wentz;0.0519;58
G.Minshew;0.0515;56
D.Carr;0.0506;63
P.Rivers;0.0512;58
M.Rudolph;0.0453;62
T.Brady;0.0394;58
D.Prescott;0.0342;61
J.Goff;0.0312;57
D.Brees;0.0294;56
P.Mahomes;0.0292;60
L.Jackson;0.0477;69
